Corp ID,Corp Name,Sch ID,School Name,Cohort N,Grad N,Grad Rate,"Non-Waiver
Grad N","Non-Waiver
Grad Rate"
7875,West Lafayette Com School Corp,8129,West Lafayette Jr/Sr High Sch,196,193,98.5%,190,96.9%
7935,Tri-Central Community Schools,8155,Tri Central Middle-High School,70,66,94.3%,62,88.6%
7945,Tipton Community School Corp,8177,Tipton High School,127,123,96.9%,112,88.2%
7950,Union Co/Clg Corner Joint Sch Dist,8193,Union County High School,106,93,87.7%,83,78.3%
7995,Evansville Vanderburgh Sch Corp,8237,Benjamin Bosse High School,179,159,88.8%,137,76.5%
7995,Evansville Vanderburgh Sch Corp,8241,Central High School,289,268,92.7%,243,84.1%
7995,Evansville Vanderburgh Sch Corp,8245,Francis Joseph Reitz High Sch,325,314,96.6%,282,86.8%
7995,Evansville Vanderburgh Sch Corp,8253,North High School,316,271,85.8%,248,78.5%
7995,Evansville Vanderburgh Sch Corp,8270,Academy for Innovative Studies,189,41,21.7%,24,12.7%
7995,Evansville Vanderburgh Sch Corp,8311,William Henry Harrison High Sch,252,203,80.6%,167,66.3%
7995,Evansville Vanderburgh Sch Corp,8326,New Tech Institute,66,64,97.0%,53,80.3%
8010,North Vermillion Com Sch Corp,8394,North Vermillion High School,52,51,98.1%,44,84.6%
8020,South Vermillion Com Sch Corp,8432,South Vermillion High School,149,143,96.0%,125,83.9%
8030,Vigo County School Corp,8441,Terre Haute North Vigo High Sch,444,411,92.6%,377,84.9%
8030,Vigo County School Corp,8453,West Vigo High School,122,114,93.4%,107,87.7%
8030,Vigo County School Corp,8457,Terre Haute South Vigo High Sch,359,339,94.4%,316,88.0%
8030,Vigo County School Corp,8611,Booker T Washington Alt Sch,17,17,100.0%,14,82.4%
8030,Vigo County School Corp,8612,McLean Education Center (Alt),22,19,86.4%,11,50.0%
8045,Manchester Community Schools,8625,Manchester Jr-Sr High School,115,104,90.4%,99,86.1%
8050,M S D Wabash County Schools,8651,Northfield Jr-Sr High School,71,68,95.8%,59,83.1%
8050,M S D Wabash County Schools,8655,Southwood Jr-Sr High School,93,90,96.8%,85,91.4%
8050,M S D Wabash County Schools,8673,White's Jr-Sr High School,27,15,55.6%,14,51.9%
8060,Wabash City Schools,8693,Wabash High School,111,103,92.8%,94,84.7%
8115,M S D Warren County,8737,Seeger Memorial Jr-Sr HS,93,89,95.7%,87,93.5%
8130,Warrick County School Corp,8772,Tecumseh Jr-Sr High Sch,57,56,98.2%,50,87.7%
8130,Warrick County School Corp,8789,Boonville High School,209,178,85.2%,157,75.1%
8130,Warrick County School Corp,8809,Castle High School,465,438,94.2%,403,86.7%
8205,Salem Community Schools,8857,Salem High School,169,159,94.1%,136,80.5%
8215,East Washington School Corp,8905,Eastern High Sch,119,113,95.0%,96,80.7%
8220,West Washington School Corp,8869,West Washington Jr-Sr HS,79,77,97.5%,76,96.2%
8305,Nettle Creek School Corp,8985,Hagerstown Jr-Sr High School,72,67,93.1%,63,87.5%
8355,Western Wayne Schools,8961,Lincoln Sr High Sch,97,83,85.6%,77,79.4%
8360,Centerville-Abington Com Schs,8981,Centerville Sr High School,118,110,93.2%,102,86.4%
8375,Northeastern Wayne Schools,8927,Northeastern High School,80,70,87.5%,67,83.8%
8385,Richmond Community Schools,8993,Richmond High School,350,334,95.4%,307,87.7%
8425,Southern Wells Com Schools,9058,Southern Wells Jr-Sr High Sch,62,60,96.8%,59,95.2%
8435,Northern Wells Com Schools,9087,Norwell High School,203,192,94.6%,167,82.3%
8445,M S D Bluffton-Harrison,9089,Bluffton High School,95,92,96.8%,86,90.5%
8515,North White School Corp,9135,North White Jr/Sr High School,69,63,91.3%,55,79.7%
8525,Frontier School Corporation,9137,Frontier Jr-Sr High School,63,54,85.7%,49,77.8%
8535,Tri-County School Corp,9141,Tri-County Middle-Senior High,60,54,90.0%,53,88.3%
8565,Twin Lakes School Corp,9149,Twin Lakes Senior High School,199,172,86.4%,163,81.9%
8625,Smith-Green Community Schools,9193,Churubusco Jr-Sr High School,104,98,94.2%,91,87.5%
8665,Whitley Co Cons Schools,9187,Columbia City High School,281,266,94.7%,260,92.5%
8810,CSUSA Howe,5639,Thomas Carr Howe Comm High School,77,47,61.0%,39,50.6%
8815,CSUSA Manual,5481,Emmerich Manual High School,110,78,70.9%,72,65.5%
8820,Edison Learning Roosevelt,4033,Theodore Roosevelt Car & Tech Acad,170,66,38.8%,48,28.2%
8830,EdPower Arlington,5465,Arlington Community High School,46,20,43.5%,20,43.5%
9305,The Excel Center - Richmond,9012,The Excel Center - Richmond,41,4,9.8%,4,9.8%
9315,Signature School Inc,8295,Signature School Inc,77,77,100.0%,77,100.0%
9320,Community Montessori Inc,1536,Community Montessori,27,25,92.6%,16,59.3%
9325,Options Charter School - Carmel,2524,Options Charter School - Carmel,40,12,30.0%,12,30.0%
9330,Irvington Community School,1537,Irvington Community School,67,51,76.1%,50,74.6%
9335,The Excel Center-Lafayette Square,5912,The Excel Center - Lafayette Sq,54,3,5.6%,3,5.6%
9345,The Excel Center - Lafayette,8094,The Excel Center - Lafayette,48,5,10.4%,5,10.4%
9355,The Excel Center - Kokomo,2976,The Excel Center - Kokomo,35,1,2.9%,1,2.9%
9370,Fall Creek Academy,5870,Fall Creek Academy,20,13,65.0%,11,55.0%
9380,Christel House Academy South,5874,Christel House Academy South,29,21,72.4%,21,72.4%
9385,Christel House DORS South,5532,Christel House DORS South,30,4,13.3%,4,13.3%
9445,Charles A Tindley Accelerated Schl,6208,Charles A Tindley Accelerated Sch,34,29,85.3%,29,85.3%
9460,Thea Bowman Leadership Academy,4022,Thea Bowman Leadership Academy,112,101,90.2%,101,90.2%
9480,University Heights Preparatory Acd,5864,University Heights Preparatory Acd,30,15,50.0%,15,50.0%
9535,Gary Lighthouse Charter School,4130,Gary Lighthouse Charter School,93,78,83.9%,62,66.7%
9545,21st Century Charter Sch of Gary,4164,21st Century Charter Sch of Gary,35,33,94.3%,33,94.3%
9575,Indpls Lighthouse Charter School,5523,Indpls Lighthouse Charter School,40,38,95.0%,36,90.0%
9610,Indiana School For The Deaf,C695,Indiana School For The Deaf,24,11,45.8%,6,25.0%
9620,Burris Laboratory School,1441,Burris Laboratory School,45,42,93.3%,42,93.3%
9625,IN Acad for Sci Math Humanities,1443,IN Aca for Sci Math & Humanities,140,138,98.6%,138,98.6%
9640,Options Charter Sch - Noblesville,2551,Options Charter School Noblesville,66,27,40.9%,22,33.3%
9650,Herron Charter,5724,Herron High School,146,143,97.9%,142,97.3%
9655,Hope Academy,5292,Hope Academy,15,8,53.3%,7,46.7%
9670,Indianapolis Metropolitan High Sch,5664,Indianapolis Metropolitan High Sch,115,60,52.2%,53,46.1%
9705,Hammond Academy of Science & Tech,4486,Hammond Academy of Science & Tech,64,56,87.5%,52,81.3%
9730,Neighbors' New Vistas High School,6864,Neighbors' New Vistas High School,62,17,27.4%,16,25.8%
9750,The Excel Center - Anderson,4904,The Excel Center - Anderson,64,11,17.2%,10,15.6%
9765,Indiana Cyber Charter Sch Inc,4421,Indiana Cyber Charter School,28,12,42.9%,10,35.7%
9785,Indiana Math and Science Academy,5837,Indiana Math & Science Academy,30,28,93.3%,25,83.3%
9790,Anderson Preparatory Academy,5092,Anderson Preparatory Academy,62,59,95.2%,57,91.9%
9805,Hoosier Academy - Indianapolis,2527,Hoosier Academy - Indianapolis,49,14,28.6%,14,28.6%
9865,Hoosier Acad Virtual Charter,5290,Hoosier Acad Virtual Charter Sch,227,39,17.2%,30,13.2%
9875,Rock Creek Community Academy,0771,Rock Creek Community Academy,22,22,100.0%,21,95.5%
9880,Career Academy at South Bend,7564,Career Academy at South Bend,36,11,30.6%,10,27.8%
9885,Gary Middle College,4027,Gary Middle College,75,6,8.0%,6,8.0%
9890,Indiana Virtual School,2488,Indiana Virtual School,52,8,15.4%,7,13.5%
9905,Indiana Connections Academy,7944,Indiana Connections Academy,415,200,48.2%,180,43.4%
9910,Excel Center for Adult Learners,5669,Excel Center For Adult Learners,378,67,17.7%,59,15.6%
9920,Damar Charter Academy,5191,Damar Charter Academy,21,0,0.0%,0,0.0%
9930,Nexus Academy of Indianapolis,5302,Nexus Academy of Indianapolis,10,3,30.0%,3,30.0%
